			8N	8T	33N	33T	51N	51T	8N	8T	33N	33T	51N	51T	8T vs. 8N	33T vs. 33N	51T vs. 51N				8T vs. 8N	33T vs. 33N	51T vs. 51N	8T vs. 8N	33T vs. 33N	51T vs. 51N	all									
			counts	counts	counts	counts	counts	counts	counts	counts	counts	counts	counts	counts	log2(ratioOfNormalizedCounts)	log2(ratioOfNormalizedCounts)	log2(ratioOfNormalizedCounts)				log2(ratioOfNormalizedCounts)	log2(ratioOfNormalizedCounts)	log2(ratioOfNormalizedCounts)	rank(ratioOfNormalizedCounts)	rank(ratioOfNormalizedCounts)	rank(ratioOfNormalizedCounts)	median(rank(ratioOfNormalizedCounts))	LRT Analysis 								
idRefSeq	nameOfGene	numberOfExons	sum	sum	sum	sum	sum	sum	normalized_sum	normalized_sum	normalized_sum	normalized_sum	normalized_sum	normalized_sum	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio		RefSeq Id	Gene	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	normalized_sum_ratio	Normal_counts	Tumor_counts	Normal_RPM	Tumor_RPM	Normal_RPKM	Tumor_RPKM	log2(FC)	p-value	FDR
NM_005368	MB	3	4210	6	6700	61	11738	1532	1.7E-04	3.3E-07	1.7E-04	1.6E-06	2.1E-04	3.8E-05	-9.02	-6.72	-2.44		NM_005368	MB	-9.02	-6.72	-2.44	11	37	470	37	22648	1599	183.0453029	13.4160286	169.8008375	12.44529555	-3.770171178	0	0
NM_001100	ACTA1	7	3334	8	3198	32	13643	1063	1.4E-04	4.2E-07	8.2E-05	8.6E-07	2.4E-04	2.7E-05	-8.32	-6.56	-3.18		NM_001100	ACTA1	-8.32	-6.56	-3.18	32	41	167	41	20175	1103	152.7584301	9.278811302	101.231564	6.14898032	-4.041168193	0	0
NM_003063	SLN	2	532	1	1022	6	1384	200	2.2E-05	9.4E-08	2.6E-05	1.8E-07	2.5E-05	5.0E-06	-7.85	-7.15	-2.29		NM_003063	SLN	-7.85	-7.15	-2.29	46	23	557	46	2938	207	24.03298656	1.737712925	32.56502244	2.354624559	-3.789754273	0	0
NM_001122853	MYOZ3	7	257	0	223	1	559	83	1.0E-05	4.7E-08	5.7E-06	5.2E-08	9.9E-06	2.1E-06	-7.8	-6.77	-2.24		NM_001122853	MYOZ3	-7.8	-6.77	-2.24	48	31	592	48	1039	84	8.662732374	0.701689614	2.261219623	0.183160954	-3.625917234	6.5404E-172	5.8524E-171
NM_133371	MYOZ3	7	247	0	212	1	531	82	1.0E-05	4.7E-08	5.4E-06	5.2E-08	9.4E-06	2.1E-06	-7.74	-6.7	-2.18		NM_133371	MYOZ3	-7.74	-6.7	-2.18	51	39	632	51	990	83	8.268984179	0.693340509	2.374098243	0.199064171	-3.57607415	1.5224E-161	1.3157E-160
NM_207163	LMOD2	3	449	1	1032	4	2138	272	1.8E-05	9.4E-08	2.6E-05	1.3E-07	3.8E-05	6.8E-06	-7.6	-7.65	-2.47		NM_207163	LMOD2	-7.6	-7.65	-2.47	56	13	455	56	3619	277	27.45729203	2.321420588	12.58931317	1.06438358	-3.564109512	0	0
NM_032546	TRIM54	10	221	0	122	0	958	81	9.0E-06	4.7E-08	3.1E-06	2.6E-08	1.7E-05	2.1E-06	-7.58	-6.91	-3.05		NM_032546	TRIM54	-7.58	-6.91	-3.05	57	27	205	57	1301	81	9.678778374	0.676277471	5.46823637	0.382077667	-3.839137767	3.3157E-235	3.7975E-234
NM_187841	TRIM54	9	219	0	119	0	957	79	8.9E-06	4.7E-08	3.1E-06	2.6E-08	1.7E-05	2.0E-06	-7.57	-6.87	-3.08		NM_187841	TRIM54	-7.57	-6.87	-3.08	58	29	190	58	1295	79	9.620431199	0.659579262	5.851843795	0.401203931	-3.866483614	1.4167E-235	1.6249E-234
NM_133432	TTN	192	250473	913	159874	2383	1285719	146074	1.0E-02	4.3E-05	4.1E-03	6.2E-05	2.3E-02	3.7E-03	-7.89	-6.03	-2.64		NM_133432	TTN	-7.89	-6.03	-2.64	42	60	362	60	1696066	149370	12335.2912	1254.602883	149.6946859	15.22520882	-3.297489086	0	0
NM_133437	TTN	192	250494	913	159876	2384	1285686	146088	1.0E-02	4.3E-05	4.1E-03	6.2E-05	2.3E-02	3.7E-03	-7.89	-6.03	-2.64		NM_133437	TTN	-7.89	-6.03	-2.64	42	60	362	60	1696056	149385	12335.3961	1254.728484	149.3317042	15.1896819	-3.29735693	0	0
